organisation,action_type,sector,date_issued,fine_amount_gbp,url
British Airways plc,Monetary Penalty Notice,Aviation,2020-10-16,20000000,https://ico.org.uk/action-weve-taken/enforcement/british-airways-plc/
Marriott International Inc.,Monetary Penalty Notice,Hospitality,2020-10-30,18400000,https://ico.org.uk/action-weve-taken/enforcement/marriott-international-inc/
Ticketmaster UK Limited,Monetary Penalty Notice,Entertainment,2020-11-13,1250000,https://ico.org.uk/action-weve-taken/enforcement/ticketmaster-uk-limited/
TikTok Information Technologies UK Limited,Monetary Penalty Notice,Social media,2023-04-04,12700000,https://ico.org.uk/action-weve-taken/enforcement/tiktok-information-technologies-uk-limited/
Clearview AI Inc.,Enforcement Notice,Technology,2022-05-18,7500000,https://ico.org.uk/action-weve-taken/enforcement/clearview-ai-inc/
Meta Platforms Ireland Limited,Reprimand,Social media,2023-09-21,0,https://ico.org.uk/action-weve-taken/enforcement/meta-platforms-ireland-limited/
Cabinet Office,Monetary Penalty Notice,Public sector,2021-12-15,500000,https://ico.org.uk/action-weve-taken/enforcement/cabinet-office/
Easylife Limited,Monetary Penalty Notice,Retail,2022-10-04,1350000,https://ico.org.uk/action-weve-taken/enforcement/easylife-limited/
